link,title,imageURL,price,description
https://www.nautimarket-europe.com/en/EV-100-Tiller-Autopilot-System-for-Sailing-Boat-Tiller-Drive-T70153-RYT70153, EV-100 Tiller Autopilot System for Sailing Boat Tiller Drive - T70153 #RYT70153,https://www.nautimarket-europe.com/open2b/var/products/83/93/0-e861c868-150-EV-100-Tiller-Autopilot-System-for-Sailing-Boat-Tiller-Drive-T70153-RYT70153.jpg,1905.21000,"The EV-100 Power autopilot system consists of the revolutionary EV-sensor core, the fully-sealed and compact ACU-100, a P70 control interface, and Raymarine’s tiller drive. Raymarine code T70153."
https://www.nautimarket-europe.com/en/EV-100-Wheel-Autopilot-System-for-steering-wheel-Sailing-Boat-T70152-RYT70152, EV-100 Wheel Autopilot System for steering wheel Sailing Boat - T70152 #RYT70152,https://www.nautimarket-europe.com/open2b/var/products/83/94/0-e2949fe4-150-EV-100-Wheel-Autopilot-System-for-steering-wheel-Sailing-Boat-T70152-RYT70152.jpg,1905.21000,"The EV-100 Power autopilot system consists of the revolutionary EV-sensor core, the fully-sealed and compact ACU-100, a P70 control interface, and Raymarine’s Wheel Drive. Raymarine code T70152."
https://www.nautimarket-europe.com/en/0-5-adjustable-stainless-steel-base-for-Glomex-Sat-Antennas-FNI5509500,0-5° adjustable stainless steel base for Glomex Sat Antennas #FNI5509500,https://www.nautimarket-europe.com/open2b/var/products/18/74/0-1168d8d9-150-0-5-adjustable-stainless-steel-base-for-Glomex-Sat-Antennas-FNI5509500.jpg,420.11000,"0-5° adjustable stainless steel base for Glomex sat antennas. Lower base Ø 242mm, upper base Ø 240mm. "
https://www.nautimarket-europe.com/en/12-24V-Fuel-Gauge-with-NMEA-2000-outlet-signal-L-170mm-OS2716517,12/24V Fuel Gauge with NMEA 2000 outlet signal L.170mm #OS2716517,https://www.nautimarket-europe.com/open2b/var/products/64/15/0-1ab11be0-150-12-24V-Fuel-Gauge-with-NMEA-2000-outlet-signal-L.170mm-OS2716517.jpg,123.96000,Suitable for fuel and water. 5-hole international flange. Universal 12/24V. IP65. Stainless steel body. Length 170mm. Fuel version.
https://www.nautimarket-europe.com/en/12-24V-Fuel-Gauge-with-NMEA-2000-outlet-signal-L-900mm-OS2716590,12/24V Fuel Gauge with NMEA 2000 outlet signal L.900mm #OS2716590,https://www.nautimarket-europe.com/open2b/var/products/64/30/0-1ab11be0-150-12-24V-Fuel-Gauge-with-NMEA-2000-outlet-signal-L.900mm-OS2716590.jpg,180.94000,Suitable for fuel and water. 5-hole international flange. Universal 12/24V. IP65. Stainless steel body. Length 900mm. Fuel version.
https://www.nautimarket-europe.com/en/12-24V-Fuel-level-gauge-Signal-10-190-Ohm-European-Type-N100069722529,12/24V Fuel level gauge Signal 10-190 Ohm  European Type #N100069722529,https://www.nautimarket-europe.com/open2b/var/products/62/41/0-31bfbf52-150-12-24V-Fuel-level-gauge-Signal-10-190-Ohm-European-Type-N100069722529.jpg,23.14000,12/24V Fuel level gauge Signal 10-190 Ohm  European Type.
https://www.nautimarket-europe.com/en/12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L-1000mm-OS2716599,12/24V Fuel Level Gauge with NMEA 2000 outlet signal L.1000mm #OS2716599,https://www.nautimarket-europe.com/open2b/var/products/64/31/0-1ab11be0-150-12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L.1000mm-OS2716599.jpg,182.61000,Suitable for fuel and water. 5-hole international flange. Universal 12/24V. IP65. Stainless steel body. Length 1000mm. Fuel Version.
https://www.nautimarket-europe.com/en/12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L-150mm-OS2716515,12/24V Fuel Level Gauge with NMEA 2000 outlet signal L.150mm #OS2716515,https://www.nautimarket-europe.com/open2b/var/products/64/14/0-1ab11be0-150-12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L.150mm-OS2716515.jpg,121.46000,Suitable for fuel and water. 5-hole international flange. Universal 12/24V. IP65. Stainless steel body. Length 150mm. Fuel Verion.
https://www.nautimarket-europe.com/en/12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L-200mm-OS2716520,12/24V Fuel Level Gauge with NMEA 2000 outlet signal L.200mm #OS2716520,https://www.nautimarket-europe.com/open2b/var/products/64/16/0-1ab11be0-150-12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L.200mm-OS2716520.jpg,123.96000,Suitable for fuel and water. 5-hole international flange. Universal 12/24V. IP65. Stainless steel body. Length 200mm. Fuel version.
https://www.nautimarket-europe.com/en/12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L-225mm-OS2716522,12/24V Fuel Level Gauge with NMEA 2000 outlet signal L.225mm #OS2716522,https://www.nautimarket-europe.com/open2b/var/products/64/17/0-1ab11be0-150-12-24V-Fuel-Level-Gauge-with-NMEA-2000-outlet-signal-L.225mm-OS2716522.jpg,125.65000,Suitable for fuel and water. 5-hole international flange. Universal 12/24V. IP65. Stainless steel body. Length 225mm. Fuel Version.
